County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Maury County, Tennessee",47119,Urban,71500.000000000,"727 of 3142"
"Murray County, Minnesota",27101,Rural,71500.000000000,"727 of 3142"
"Aurora County, South Dakota",46003,Rural,71490.000000000,"729 of 3142"
"Harding County, South Dakota",46063,Rural,71484.000000000,"730 of 3142"
"Burnet County, Texas",48053,Rural,71482.000000000,"731 of 3142"
"Onondaga County, New York",36067,Urban,71479.000000000,"732 of 3142"
"Schoharie County, New York",36095,Urban,71479.000000000,"732 of 3142"
"Moody County, South Dakota",46101,Rural,71469.000000000,"734 of 3142"
"Ransom County, North Dakota",38073,Rural,71462.000000000,"735 of 3142"
"Fulton County, Ohio",39051,Urban,71453.000000000,"736 of 3142"
"Monroe County, New York",36055,Urban,71450.000000000,"737 of 3142"
"Miami County, Ohio",39109,Urban,71440.000000000,"738 of 3142"
"Manatee County, Florida",12081,Urban,71385.000000000,"739 of 3142"
"Crane County, Texas",48103,Rural,71364.000000000,"740 of 3142"
"Greenville County, South Carolina",45045,Urban,71328.000000000,"741 of 3142"
"Benzie County, Michigan",26019,Urban,71327.000000000,"742 of 3142"
"Brevard County, Florida",12009,Urban,71308.000000000,"743 of 3142"
"Harrison County, Indiana",18061,Urban,71302.000000000,"744 of 3142"
"Portage County, Wisconsin",55097,Rural,71301.000000000,"745 of 3142"
"White Pine County, Nevada",32033,Rural,71297.000000000,"746 of 3142"
"Lexington County, South Carolina",45063,Urban,71280.000000000,"747 of 3142"
"Cumberland County, Illinois",17035,Rural,71274.000000000,"748 of 3142"
"McPherson County, Kansas",20113,Rural,71250.000000000,"749 of 3142"
"Knox County, Ohio",39083,Rural,71246.000000000,"750 of 3142"
"Pope County, Minnesota",27121,Rural,71212.000000000,"751 of 3142"
"Colfax County, Nebraska",31037,Rural,71205.000000000,"752 of 3142"
"Brunswick County, North Carolina",37019,Urban,71193.000000000,"753 of 3142"
"Washington County, Iowa",19183,Urban,71122.000000000,"754 of 3142"
"Saline County, Nebraska",31151,Rural,71104.000000000,"755 of 3142"
"Oldham County, Texas",48359,Urban,71103.000000000,"756 of 3142"
"Franklin County, Ohio",39049,Urban,71070.000000000,"757 of 3142"
"Dauphin County, Pennsylvania",42043,Urban,71046.000000000,"758 of 3142"
"Baldwin County, Alabama",01003,Urban,71039.000000000,"759 of 3142"
"Wayne County, New York",36117,Urban,71007.000000000,"760 of 3142"
"Bandera County, Texas",48019,Urban,70965.000000000,"761 of 3142"
"Kosciusko County, Indiana",18085,Rural,70945.000000000,"762 of 3142"
"Blount County, Tennessee",47009,Urban,70935.000000000,"763 of 3142"
"Marion County, Oregon",41047,Urban,70926.000000000,"764 of 3142"
"Cowlitz County, Washington",53015,Urban,70912.000000000,"765 of 3142"
"Blue Earth County, Minnesota",27013,Urban,70906.000000000,"766 of 3142"
"Grant County, South Dakota",46051,Rural,70851.000000000,"767 of 3142"
"Pepin County, Wisconsin",55091,Rural,70833.000000000,"768 of 3142"
"Marshall County, Iowa",19127,Rural,70828.000000000,"769 of 3142"
"Duchesne County, Utah",49013,Rural,70821.000000000,"770 of 3142"
"Harris County, Texas",48201,Urban,70789.000000000,"771 of 3142"
"Sullivan County, New Hampshire",33019,Rural,70788.000000000,"772 of 3142"
"Boise County, Idaho",16015,Urban,70776.000000000,"773 of 3142"
"Ward County, Texas",48475,Rural,70771.000000000,"774 of 3142"
"Howard County, Nebraska",31093,Urban,70766.000000000,"775 of 3142"
"Dallas County, Texas",48113,Urban,70732.000000000,"776 of 3142"
"Newton County, Georgia",13217,Urban,70732.000000000,"776 of 3142"
"Harvey County, Kansas",20079,Urban,70685.000000000,"778 of 3142"
"Tipton County, Tennessee",47167,Urban,70674.000000000,"779 of 3142"
"Cole County, Missouri",29051,Urban,70667.000000000,"780 of 3142"
"Rock County, Wisconsin",55105,Urban,70630.000000000,"781 of 3142"
"Slope County, North Dakota",38087,Rural,70625.000000000,"782 of 3142"
"Hillsborough County, Florida",12057,Urban,70612.000000000,"783 of 3142"
"Putnam County, Indiana",18133,Rural,70609.000000000,"784 of 3142"
"Yellow Medicine County, Minnesota",27173,Rural,70605.000000000,"785 of 3142"
"Callaway County, Missouri",29027,Urban,70599.000000000,"786 of 3142"
"Ector County, Texas",48135,Urban,70566.000000000,"787 of 3142"
"Wood County, Ohio",39173,Urban,70537.000000000,"788 of 3142"
"Santa Fe County, New Mexico",35049,Urban,70522.000000000,"789 of 3142"
"Scott County, Illinois",17171,Rural,70500.000000000,"790 of 3142"
"Franklin County, North Carolina",37069,Urban,70493.000000000,"791 of 3142"
"Champaign County, Ohio",39021,Rural,70486.000000000,"792 of 3142"
"Morgan County, Colorado",08087,Rural,70471.000000000,"793 of 3142"
"Livingston County, New York",36051,Urban,70443.000000000,"794 of 3142"
"Tuolumne County, California",06109,Rural,70432.000000000,"795 of 3142"
"Tioga County, New York",36107,Urban,70427.000000000,"796 of 3142"
"Armstrong County, Texas",48011,Urban,70417.000000000,"797 of 3142"
"Morrow County, Ohio",39117,Urban,70412.000000000,"798 of 3142"
"Spokane County, Washington",53063,Urban,70394.000000000,"799 of 3142"
"Lancaster County, Nebraska",31109,Urban,70387.000000000,"800 of 3142"
"Jackson County, Kansas",20085,Urban,70385.000000000,"801 of 3142"
"Franklin County, Massachusetts",25011,Rural,70383.000000000,"802 of 3142"
"Logan County, Kansas",20109,Rural,70382.000000000,"803 of 3142"
"Brown County, South Dakota",46013,Rural,70379.000000000,"804 of 3142"
"Fond du Lac County, Wisconsin",55039,Urban,70368.000000000,"805 of 3142"
"Kiowa County, Kansas",20097,Rural,70347.000000000,"806 of 3142"
"Benton County, Minnesota",27009,Urban,70346.000000000,"807 of 3142"
"Gilmer County, Georgia",13123,Rural,70334.000000000,"808 of 3142"
"Broward County, Florida",12011,Urban,70331.000000000,"809 of 3142"
"Kane County, Utah",49025,Rural,70327.000000000,"810 of 3142"
"Umatilla County, Oregon",41059,Rural,70322.000000000,"811 of 3142"
"Wayne County, Ohio",39169,Rural,70320.000000000,"812 of 3142"
"Reagan County, Texas",48383,Rural,70319.000000000,"813 of 3142"
"Osage County, Missouri",29151,Urban,70313.000000000,"814 of 3142"
"Shelby County, Iowa",19165,Rural,70295.000000000,"815 of 3142"
"Greene County, New York",36039,Rural,70294.000000000,"816 of 3142"
"Noble County, Indiana",18113,Rural,70286.000000000,"817 of 3142"
"Ripley County, Indiana",18137,Rural,70285.000000000,"818 of 3142"
"Meade County, South Dakota",46093,Urban,70256.000000000,"819 of 3142"
"LaMoure County, North Dakota",38045,Rural,70227.000000000,"820 of 3142"
"Martin County, Texas",48317,Urban,70217.000000000,"821 of 3142"
"Hardin County, Texas",48199,Urban,70164.000000000,"822 of 3142"
"Gillespie County, Texas",48171,Rural,70162.000000000,"823 of 3142"
"King and Queen County, Virginia",51097,Urban,70147.000000000,"824 of 3142"
"Eau Claire County, Wisconsin",55035,Urban,70127.000000000,"825 of 3142"
"Roseau County, Minnesota",27135,Rural,70122.000000000,"826 of 3142"
"Nome Census Area, Alaska",02180,Rural,70121.000000000,"827 of 3142"
"Franklin County, Missouri",29071,Urban,70111.000000000,"828 of 3142"
"Sumter County, Florida",12119,Urban,70105.000000000,"829 of 3142"
"Treasure County, Montana",30103,Rural,70096.000000000,"830 of 3142"
"Buffalo County, Nebraska",31019,Rural,70093.000000000,"831 of 3142"
"Centre County, Pennsylvania",42027,Urban,70087.000000000,"832 of 3142"
"Thomas County, Nebraska",31171,Rural,70069.000000000,"833 of 3142"
"Washington County, Texas",48477,Rural,70043.000000000,"834 of 3142"
"Winnebago County, Wisconsin",55139,Urban,70041.000000000,"835 of 3142"
"Lyon County, Nevada",32019,Urban,70026.000000000,"836 of 3142"
"Wabaunsee County, Kansas",20197,Urban,70000.000000000,"837 of 3142"
"Tompkins County, New York",36109,Urban,69995.000000000,"838 of 3142"
"Archer County, Texas",48009,Urban,69954.000000000,"839 of 3142"
"Greeley County, Kansas",20071,Rural,69948.000000000,"840 of 3142"
"Platte County, Nebraska",31141,Rural,69943.000000000,"841 of 3142"
"Churchill County, Nevada",32001,Rural,69922.000000000,"842 of 3142"
"Clark County, Nevada",32003,Urban,69911.000000000,"843 of 3142"
"Jessamine County, Kentucky",21113,Urban,69905.000000000,"844 of 3142"
"Worth County, Iowa",19195,Rural,69897.000000000,"845 of 3142"
"Lamoille County, Vermont",50015,Rural,69886.000000000,"846 of 3142"
"Anderson County, Kentucky",21005,Rural,69885.000000000,"847 of 3142"
"Rio Blanco County, Colorado",08103,Rural,69882.000000000,"848 of 3142"
"Cameron Parish, Louisiana",22023,Urban,69847.000000000,"849 of 3142"
"Bailey County, Texas",48017,Rural,69830.000000000,"850 of 3142"
"Chippewa County, Wisconsin",55017,Urban,69815.000000000,"851 of 3142"
"Portage County, Ohio",39133,Urban,69796.000000000,"852 of 3142"
"Iowa County, Iowa",19095,Rural,69787.000000000,"853 of 3142"
"Ray County, Missouri",29177,Urban,69779.000000000,"854 of 3142"
"Charlevoix County, Michigan",26029,Rural,69764.000000000,"855 of 3142"
"Berkshire County, Massachusetts",25003,Urban,69744.000000000,"856 of 3142"
"Stevens County, Minnesota",27149,Rural,69737.000000000,"857 of 3142"
"Oliver County, North Dakota",38065,Urban,69722.000000000,"858 of 3142"
"Dunn County, Wisconsin",55033,Rural,69721.000000000,"859 of 3142"
"Hyde County, South Dakota",46069,Rural,69712.000000000,"860 of 3142"
"Jackson County, Iowa",19097,Rural,69709.000000000,"861 of 3142"
"Emmet County, Michigan",26047,Rural,69690.000000000,"862 of 3142"
"Teller County, Colorado",08119,Urban,69655.000000000,"863 of 3142"
"Lincoln County, Maine",23015,Rural,69638.000000000,"864 of 3142"
"Colusa County, California",06011,Rural,69619.000000000,"865 of 3142"
"Wichita County, Kansas",20203,Rural,69551.000000000,"866 of 3142"
"Polk County, Minnesota",27119,Urban,69540.000000000,"867 of 3142"
"Linn County, Oregon",41043,Urban,69523.000000000,"868 of 3142"
"Ottawa County, Ohio",39123,Urban,69515.000000000,"869 of 3142"
"Windsor County, Vermont",50027,Rural,69492.000000000,"870 of 3142"
"Westmoreland County, Pennsylvania",42129,Urban,69454.000000000,"871 of 3142"
"Bingham County, Idaho",16011,Rural,69433.000000000,"872 of 3142"
"Wicomico County, Maryland",24045,Urban,69421.000000000,"873 of 3142"
"Dillingham Census Area, Alaska",02070,Rural,69412.000000000,"874 of 3142"
"Millard County, Utah",49027,Rural,69403.000000000,"875 of 3142"
"Marshall County, Minnesota",27089,Rural,69396.000000000,"876 of 3142"
"Middlesex County, Virginia",51119,Rural,69389.000000000,"877 of 3142"
"Fremont County, Iowa",19071,Rural,69375.000000000,"878 of 3142"
"Lee County, Florida",12071,Urban,69368.000000000,"879 of 3142"
"Jefferson County, Oregon",41031,Urban,69345.000000000,"880 of 3142"
"Defiance County, Ohio",39039,Rural,69302.000000000,"881 of 3142"
"Lafayette County, Wisconsin",55065,Rural,69293.000000000,"882 of 3142"
"Kent County, Delaware",10001,Urban,69278.000000000,"883 of 3142"
"Flagler County, Florida",12035,Urban,69251.000000000,"884 of 3142"
"Logan County, Nebraska",31113,Rural,69250.000000000,"885 of 3142"
"Moore County, Tennessee",47127,Rural,69250.000000000,"885 of 3142"
"Rich County, Utah",49033,Rural,69250.000000000,"885 of 3142"
"Waupaca County, Wisconsin",55135,Rural,69198.000000000,"888 of 3142"
"Hutchinson County, South Dakota",46067,Rural,69139.000000000,"889 of 3142"
"Logan County, Ohio",39091,Rural,69125.000000000,"890 of 3142"
"Davie County, North Carolina",37059,Urban,69105.000000000,"891 of 3142"
"Natrona County, Wyoming",56025,Urban,69104.000000000,"892 of 3142"
"Banks County, Georgia",13011,Rural,69096.000000000,"893 of 3142"
"Hamilton County, Tennessee",47065,Urban,69069.000000000,"894 of 3142"
"Smith County, Texas",48423,Urban,69053.000000000,"895 of 3142"
"Clark County, Indiana",18019,Urban,69005.000000000,"896 of 3142"
"Rockdale County, Georgia",13247,Urban,68999.000000000,"897 of 3142"
"Kanabec County, Minnesota",27065,Rural,68995.000000000,"898 of 3142"
"Sheboygan County, Wisconsin",55117,Urban,68969.000000000,"899 of 3142"
"Dubois County, Indiana",18037,Rural,68945.000000000,"900 of 3142"
"Lyon County, Minnesota",27083,Rural,68919.000000000,"901 of 3142"
"Cuming County, Nebraska",31039,Rural,68917.000000000,"902 of 3142"
"St. Clair County, Illinois",17163,Urban,68915.000000000,"903 of 3142"
"Knox County, Maine",23013,Rural,68904.000000000,"904 of 3142"
"Sheridan County, Wyoming",56033,Rural,68898.000000000,"905 of 3142"
"Catoosa County, Georgia",13047,Urban,68896.000000000,"906 of 3142"
"Crook County, Wyoming",56011,Rural,68876.000000000,"907 of 3142"
"Madison County, New York",36053,Urban,68869.000000000,"908 of 3142"
"Antrim County, Michigan",26009,Rural,68850.000000000,"909 of 3142"
"Yankton County, South Dakota",46135,Rural,68847.000000000,"910 of 3142"
"Steuben County, Indiana",18151,Rural,68837.000000000,"911 of 3142"
"Columbia County, Washington",53013,Rural,68825.000000000,"912 of 3142"
"Jones County, Iowa",19105,Urban,68781.000000000,"913 of 3142"
"Sac County, Iowa",19161,Rural,68778.000000000,"914 of 3142"
"Andrew County, Missouri",29003,Urban,68774.000000000,"915 of 3142"
"Kearny County, Kansas",20093,Rural,68750.000000000,"916 of 3142"
"La Crosse County, Wisconsin",55063,Urban,68731.000000000,"917 of 3142"
"Pottawattamie County, Iowa",19155,Urban,68718.000000000,"918 of 3142"
"Washington County, New York",36115,Urban,68703.000000000,"919 of 3142"
"Sheridan County, North Dakota",38083,Rural,68684.000000000,"920 of 3142"
"Becker County, Minnesota",27005,Rural,68683.000000000,"921 of 3142"
"Surry County, Virginia",51181,Urban,68655.000000000,"922 of 3142"
"DeKalb County, Illinois",17037,Urban,68617.000000000,"923 of 3142"
"Grant County, Arkansas",05053,Urban,68598.000000000,"924 of 3142"
"Hickman County, Kentucky",21105,Rural,68589.000000000,"925 of 3142"
"Knox County, Tennessee",47093,Urban,68580.000000000,"926 of 3142"
"Bennington County, Vermont",50003,Rural,68558.000000000,"927 of 3142"
"Kent County, Texas",48263,Rural,68553.000000000,"928 of 3142"
"Wyandot County, Ohio",39175,Rural,68552.000000000,"929 of 3142"
"Kings County, California",06031,Urban,68540.000000000,"930 of 3142"
"Beauregard Parish, Louisiana",22011,Rural,68525.000000000,"931 of 3142"
"Meade County, Kentucky",21163,Urban,68518.000000000,"932 of 3142"
"Union County, Indiana",18161,Rural,68514.000000000,"933 of 3142"
"Dickson County, Tennessee",47043,Urban,68492.000000000,"934 of 3142"
"Delta County, Texas",48119,Rural,68491.000000000,"935 of 3142"
"Finney County, Kansas",20055,Rural,68481.000000000,"936 of 3142"
"Trempealeau County, Wisconsin",55121,Rural,68474.000000000,"937 of 3142"
"Canyon County, Idaho",16027,Urban,68473.000000000,"938 of 3142"
"Salem City, Virginia",51775,Urban,68402.000000000,"939 of 3142"
"Woodbury County, Iowa",19193,Urban,68399.000000000,"940 of 3142"
"Jackson County, Minnesota",27063,Rural,68368.000000000,"941 of 3142"
"Clay County, Indiana",18021,Urban,68364.000000000,"942 of 3142"
"Summit County, Ohio",39153,Urban,68360.000000000,"943 of 3142"
"Shasta County, California",06089,Urban,68347.000000000,"944 of 3142"
"Pipestone County, Minnesota",27117,Rural,68341.000000000,"945 of 3142"
"Autauga County, Alabama",01001,Urban,68315.000000000,"946 of 3142"
"Haines Borough, Alaska",02100,Rural,68276.000000000,"947 of 3142"
"Door County, Wisconsin",55029,Rural,68257.000000000,"948 of 3142"
"Hamilton County, Ohio",39061,Urban,68249.000000000,"949 of 3142"
"Franklin County, Kansas",20059,Rural,68217.000000000,"950 of 3142"
"Genesee County, New York",36037,Rural,68178.000000000,"951 of 3142"
"Livingston County, Illinois",17105,Rural,68175.000000000,"952 of 3142"
"Lincoln County, Washington",53043,Rural,68172.000000000,"953 of 3142"
"Dawson County, Montana",30021,Rural,68168.000000000,"954 of 3142"
"DeKalb County, Indiana",18033,Rural,68110.000000000,"955 of 3142"
"Camden County, Georgia",13039,Rural,68104.000000000,"956 of 3142"
"Herkimer County, New York",36043,Urban,68104.000000000,"956 of 3142"
"Hancock County, Kentucky",21091,Rural,68102.000000000,"958 of 3142"
"Essex County, New York",36031,Rural,68090.000000000,"959 of 3142"
"Mille Lacs County, Minnesota",27095,Urban,68088.000000000,"960 of 3142"
"Walsh County, North Dakota",38099,Rural,68082.000000000,"961 of 3142"
"Granville County, North Carolina",37077,Rural,68079.000000000,"962 of 3142"
"Lonoke County, Arkansas",05085,Urban,68078.000000000,"963 of 3142"
"Mesa County, Colorado",08077,Urban,68077.000000000,"964 of 3142"
"Wells County, Indiana",18179,Urban,68074.000000000,"965 of 3142"
"Carroll County, Iowa",19027,Rural,68041.000000000,"966 of 3142"
"Clatsop County, Oregon",41007,Rural,68025.000000000,"967 of 3142"
"Flathead County, Montana",30029,Rural,68025.000000000,"967 of 3142"
"Erie County, New York",36029,Urban,68014.000000000,"969 of 3142"
"Ford County, Kansas",20057,Rural,67997.000000000,"970 of 3142"
"Otter Tail County, Minnesota",27111,Rural,67990.000000000,"971 of 3142"
"Uintah County, Utah",49047,Rural,67983.000000000,"972 of 3142"
"Lamar County, Mississippi",28073,Urban,67972.000000000,"973 of 3142"
"Wyoming County, Pennsylvania",42131,Urban,67968.000000000,"974 of 3142"
"Stevens County, Kansas",20189,Rural,67950.000000000,"975 of 3142"
"La Salle County, Illinois",17099,Rural,67942.000000000,"976 of 3142"
"Franklin County, Texas",48159,Rural,67915.000000000,"977 of 3142"
"DeKalb County, Missouri",29063,Urban,67910.000000000,"978 of 3142"
"Kalamazoo County, Michigan",26077,Urban,67905.000000000,"979 of 3142"
"Ringgold County, Iowa",19159,Rural,67898.000000000,"980 of 3142"
"Box Butte County, Nebraska",31013,Rural,67893.000000000,"981 of 3142"
"Montgomery County, Tennessee",47125,Urban,67890.000000000,"982 of 3142"
"Plumas County, California",06063,Rural,67885.000000000,"983 of 3142"
"Baker County, Florida",12003,Urban,67872.000000000,"984 of 3142"
"Hancock County, Iowa",19081,Rural,67865.000000000,"985 of 3142"
"Sullivan County, New York",36105,Rural,67841.000000000,"986 of 3142"
"Pennington County, South Dakota",46103,Urban,67823.000000000,"987 of 3142"
"Southampton County, Virginia",51175,Rural,67813.000000000,"988 of 3142"
"Hemphill County, Texas",48211,Rural,67798.000000000,"989 of 3142"
"Jasper County, Iowa",19099,Urban,67784.000000000,"990 of 3142"
"Winneshiek County, Iowa",19191,Rural,67770.000000000,"991 of 3142"
"Fresno County, California",06019,Urban,67756.000000000,"992 of 3142"
"Jo Daviess County, Illinois",17085,Rural,67729.000000000,"993 of 3142"
"Polk County, Nebraska",31143,Rural,67695.000000000,"994 of 3142"
"Jackson County, Oregon",41029,Urban,67690.000000000,"995 of 3142"
"Anderson County, Kansas",20003,Rural,67651.000000000,"996 of 3142"
"Coffey County, Kansas",20031,Rural,67645.000000000,"997 of 3142"
"Major County, Oklahoma",40093,Rural,67621.000000000,"998 of 3142"
"Park County, Montana",30067,Rural,67602.000000000,"999 of 3142"
"Grant County, Minnesota",27051,Rural,67600.000000000,"1000 of 3142"
"Pickaway County, Ohio",39129,Urban,67600.000000000,"1000 of 3142"
"Lumpkin County, Georgia",13187,Urban,67592.000000000,"1002 of 3142"
"Osceola County, Iowa",19143,Rural,67561.000000000,"1003 of 3142"
"Indian River County, Florida",12061,Urban,67543.000000000,"1004 of 3142"
"New Hanover County, North Carolina",37129,Urban,67515.000000000,"1005 of 3142"
"Richland County, Montana",30083,Rural,67515.000000000,"1005 of 3142"
"Carson City, Nevada",32510,Urban,67465.000000000,"1007 of 3142"
"Dawson County, Nebraska",31047,Rural,67462.000000000,"1008 of 3142"
"Sheridan County, Montana",30091,Rural,67457.000000000,"1009 of 3142"
"Atascosa County, Texas",48013,Urban,67442.000000000,"1010 of 3142"
"Jasper County, Illinois",17079,Rural,67429.000000000,"1011 of 3142"
"Muscatine County, Iowa",19139,Rural,67427.000000000,"1012 of 3142"
"Ravalli County, Montana",30081,Rural,67424.000000000,"1013 of 3142"
"Lincoln County, Nevada",32017,Rural,67412.000000000,"1014 of 3142"
"Oneida County, Idaho",16071,Rural,67383.000000000,"1015 of 3142"
"Jerome County, Idaho",16053,Urban,67347.000000000,"1016 of 3142"
"San Juan County, Colorado",08111,Rural,67344.000000000,"1017 of 3142"
"Palo Alto County, Iowa",19147,Rural,67306.000000000,"1018 of 3142"
"Bexar County, Texas",48029,Urban,67275.000000000,"1019 of 3142"
"Lorain County, Ohio",39093,Urban,67272.000000000,"1020 of 3142"
"Bayfield County, Wisconsin",55007,Rural,67266.000000000,"1021 of 3142"
"Coconino County, Arizona",04005,Urban,67266.000000000,"1021 of 3142"
"Lewis County, Washington",53041,Rural,67247.000000000,"1023 of 3142"
"Howard County, Texas",48227,Rural,67243.000000000,"1024 of 3142"
"Tom Green County, Texas",48451,Urban,67215.000000000,"1025 of 3142"
"Hubbard County, Minnesota",27057,Rural,67197.000000000,"1026 of 3142"
"Beaver County, Pennsylvania",42007,Urban,67194.000000000,"1027 of 3142"
"Charlottesville City, Virginia",51540,Urban,67177.000000000,"1028 of 3142"
"Douglas County, Illinois",17041,Rural,67177.000000000,"1028 of 3142"
"Jackson County, Texas",48239,Rural,67176.000000000,"1030 of 3142"
"Wilkin County, Minnesota",27167,Rural,67114.000000000,"1031 of 3142"
"Clinton County, New York",36019,Rural,67097.000000000,"1032 of 3142"
"Richland County, North Dakota",38077,Rural,67089.000000000,"1033 of 3142"
"Emery County, Utah",49015,Rural,67056.000000000,"1034 of 3142"
"Brown County, Minnesota",27015,Rural,67038.000000000,"1035 of 3142"
"Mercer County, Illinois",17131,Urban,67028.000000000,"1036 of 3142"
"Fremont County, Idaho",16043,Rural,67015.000000000,"1037 of 3142"
"Hancock County, Ohio",39063,Rural,67006.000000000,"1038 of 3142"
"Mower County, Minnesota",27099,Rural,66972.000000000,"1039 of 3142"
"Sevier County, Utah",49041,Rural,66972.000000000,"1039 of 3142"
"Lac qui Parle County, Minnesota",27073,Rural,66967.000000000,"1041 of 3142"
"Carteret County, North Carolina",37031,Rural,66965.000000000,"1042 of 3142"
"Campbell County, South Dakota",46021,Rural,66932.000000000,"1043 of 3142"
"Carroll County, Georgia",13045,Urban,66895.000000000,"1044 of 3142"
"Jennings County, Indiana",18079,Rural,66892.000000000,"1045 of 3142"
"Hamilton County, New York",36041,Rural,66891.000000000,"1046 of 3142"
"St. Clair County, Michigan",26147,Urban,66887.000000000,"1047 of 3142"
"Hunt County, Texas",48231,Urban,66885.000000000,"1048 of 3142"
"Sully County, South Dakota",46119,Rural,66875.000000000,"1049 of 3142"
"LaPorte County, Indiana",18091,Urban,66854.000000000,"1050 of 3142"
"Missoula County, Montana",30063,Urban,66840.000000000,"1051 of 3142"
"Williamsburg City, Virginia",51830,Urban,66815.000000000,"1052 of 3142"
"Archuleta County, Colorado",08007,Rural,66813.000000000,"1053 of 3142"
"Noble County, Oklahoma",40103,Rural,66813.000000000,"1053 of 3142"
"Boone County, Nebraska",31011,Rural,66800.000000000,"1055 of 3142"
"Kittitas County, Washington",53037,Rural,66800.000000000,"1055 of 3142"
"Hettinger County, North Dakota",38041,Rural,66797.000000000,"1057 of 3142"
"Dodge County, Nebraska",31053,Rural,66793.000000000,"1058 of 3142"
"Moniteau County, Missouri",29135,Urban,66792.000000000,"1059 of 3142"
"Carbon County, Montana",30009,Urban,66780.000000000,"1060 of 3142"
"Caldwell County, Texas",48055,Urban,66779.000000000,"1061 of 3142"
"Park County, Wyoming",56029,Rural,66754.000000000,"1062 of 3142"
"Sheridan County, Kansas",20179,Rural,66719.000000000,"1063 of 3142"
"Kerr County, Texas",48265,Rural,66713.000000000,"1064 of 3142"
"Yuba County, California",06115,Urban,66693.000000000,"1065 of 3142"
"Griggs County, North Dakota",38039,Rural,66688.000000000,"1066 of 3142"
"Hamilton County, Iowa",19079,Rural,66685.000000000,"1067 of 3142"
"Brown County, Ohio",39015,Urban,66677.000000000,"1068 of 3142"
"Oglethorpe County, Georgia",13221,Urban,66672.000000000,"1069 of 3142"
"Arthur County, Nebraska",31005,Rural,66667.000000000,"1070 of 3142"
"Walla Walla County, Washington",53071,Urban,66635.000000000,"1071 of 3142"
"Hampden County, Massachusetts",25013,Urban,66619.000000000,"1072 of 3142"
"Humboldt County, Iowa",19091,Rural,66617.000000000,"1073 of 3142"
"Lafayette Parish, Louisiana",22055,Urban,66617.000000000,"1073 of 3142"
"Grayson County, Texas",48181,Urban,66608.000000000,"1075 of 3142"
"Jerauld County, South Dakota",46073,Rural,66607.000000000,"1076 of 3142"
"Stonewall County, Texas",48433,Rural,66591.000000000,"1077 of 3142"
"Klickitat County, Washington",53039,Rural,66581.000000000,"1078 of 3142"
"Boone County, Missouri",29019,Urban,66564.000000000,"1079 of 3142"
"Buncombe County, North Carolina",37021,Urban,66531.000000000,"1080 of 3142"
"Motley County, Texas",48345,Rural,66528.000000000,"1081 of 3142"
"Switzerland County, Indiana",18155,Rural,66525.000000000,"1082 of 3142"
"Clinton County, Missouri",29049,Urban,66494.000000000,"1083 of 3142"
"Trimble County, Kentucky",21223,Rural,66492.000000000,"1084 of 3142"
"St. Louis County, Minnesota",27137,Urban,66491.000000000,"1085 of 3142"
"Roane County, Tennessee",47145,Urban,66460.000000000,"1086 of 3142"
"Haskell County, Kansas",20081,Rural,66458.000000000,"1087 of 3142"
"Monroe County, Wisconsin",55081,Rural,66451.000000000,"1088 of 3142"
"Shelby County, Indiana",18145,Urban,66449.000000000,"1089 of 3142"
"Lee County, Texas",48287,Rural,66448.000000000,"1090 of 3142"
"Manitowoc County, Wisconsin",55071,Rural,66412.000000000,"1091 of 3142"
"Pinellas County, Florida",12103,Urban,66406.000000000,"1092 of 3142"
"Oneida County, New York",36065,Urban,66402.000000000,"1093 of 3142"
"Green Lake County, Wisconsin",55047,Rural,66395.000000000,"1094 of 3142"
"Grant County, Washington",53025,Rural,66387.000000000,"1095 of 3142"
"Lake County, Indiana",18089,Urban,66375.000000000,"1096 of 3142"
"Cooke County, Texas",48097,Rural,66374.000000000,"1097 of 3142"
"Doniphan County, Kansas",20043,Urban,66358.000000000,"1098 of 3142"
"Preble County, Ohio",39135,Rural,66355.000000000,"1099 of 3142"
"Ohio County, Indiana",18115,Urban,66333.000000000,"1100 of 3142"
"Holt County, Nebraska",31089,Rural,66325.000000000,"1101 of 3142"
"Henry County, Illinois",17073,Urban,66313.000000000,"1102 of 3142"
"Renville County, Minnesota",27129,Rural,66313.000000000,"1102 of 3142"
"Victoria County, Texas",48469,Urban,66308.000000000,"1104 of 3142"
"Pershing County, Nevada",32027,Rural,66304.000000000,"1105 of 3142"
"Jefferson County, Kentucky",21111,Urban,66296.000000000,"1106 of 3142"
"Jones County, Georgia",13169,Urban,66288.000000000,"1107 of 3142"
"Craig County, Virginia",51045,Urban,66286.000000000,"1108 of 3142"
"Greene County, Pennsylvania",42059,Rural,66283.000000000,"1109 of 3142"
"Franklin County, Virginia",51067,Urban,66275.000000000,"1110 of 3142"
"Morrison County, Minnesota",27097,Rural,66264.000000000,"1111 of 3142"
"White County, Georgia",13311,Rural,66256.000000000,"1112 of 3142"
"Custer County, Colorado",08027,Rural,66250.000000000,"1113 of 3142"
"Lake County, Florida",12069,Urban,66239.000000000,"1114 of 3142"
"Allen County, Indiana",18003,Urban,66222.000000000,"1115 of 3142"
"Nelson County, Kentucky",21179,Urban,66212.000000000,"1116 of 3142"
"Story County, Iowa",19169,Urban,66197.000000000,"1117 of 3142"
"Wabash County, Indiana",18169,Rural,66194.000000000,"1118 of 3142"
